"NAME","STREET","POST_CODE","CITY","LONGITUDE","LATITUDE","HUMIDITY_AVG","PRESSURE_AVG","TEMPERATURE_AVG","PM10_AVG","PM25_AVG","TIMESTAMP"
"SZKO?A PODSTAWOWA IM. MARIANA FALSKIEGO W KRASZEWICACH","UL. SZKOLNA","63-522","KRASZEWICE","18.22403","51.51563","95.12","1015.11","8.61","32.86","20.2","2025-04-28 20:00:00.0"
"SZKO?A PODSTAWOWA WE WRZ?SOWICACH","UL. SZKOLNA","32-040","WRZ?SOWICE","19.94282","49.96103","42.78","985.54","17.759999999999998","7.140000000000001","6.38","2025-04-28 20:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA NR 2 IM. KAZIMIERZA MALCZEWSKIEGO W STRZELCACH OPOLSKICH","UL. WAWRZY?CA ?WIERZEGO","47-100","STRZELCE OPOLSKIE","18.314889","50.503431","48.666666666666664","1040.0333333333333","22.099999999999998","1.0","0.5233333333333333","2025-04-28 20:00:00.0"
"ZESP?? SZK?? NR 1 W PSZCZYNIE","UL. KAZIMIERZA WIELKIEGO","43-200","PSZCZYNA","18.9457058","49.965883","37.1","1002.3666666666667","24.3","3.533333333333333","1.7466666666666668","2025-04-28 20:00:00.0"
"ZESP?? SZK?? IM. POWSTA?C?W WIELKOPOLSKICH W JANKOWIE PRZYGODZKIM","SZKOLNA","63-421","JANK?W PRZYGODZKI","17.7889069","51.596172","44.03333333333333","1008.7666666666668","19.733333333333334","9.566666666666666","5.383333333333333","2025-04-28 20:00:00.0"
"SZKO?A PODSTAWOWA NR 7 IM. ?O?NIERZY WRZE?NIA W ?WIKLICACH","UL. M?CZENNIK?W O?WI?CIMSKICH","43-229","?WIKLICE","18.989839","49.971937","46.1","993.7666666666668","19.5","6.066666666666667","3.1799999999999997","2025-04-28 20:00:00.0"
"SZKO?A PODSTAWOWA NR 12 W STUDZIONCE","UL. JORDANA","43-245","STUDZIONKA","18.774985","49.9603559","39.333333333333336","1000.6","23.666666666666668","3.3666666666666667","2.0233333333333334","2025-04-28 20:00:00.0"
"ZESP?? SZKOLNO-PRZEDSZKOLNY W PIASKU","SZKOLNA","43-211","PIASEK","18.94634","50.00955","30.866666666666664","1001.4","21.7","6.233333333333334","3.9066666666666663","2025-04-28 20:00:00.0"
"ZESP?? SZKOLNO-PRZEDSZKOLNY W ??CE","FITELBERGA","43-241","??KA","18.906757","49.9582444","24.633333333333336","998.3333333333334","28.433333333333334","3.033333333333333","1.4033333333333333","2025-04-28 20:00:00.0"
"SZKO?A PODSTAWOWA NR 3 W LUBONIU","ARMII POZNA?","62-030","LUBO?","16.8968","52.3481","36.63333333333333","1007.6666666666666","18.766666666666666","5.966666666666666","3.3233333333333337","2025-04-28 20:00:00.0"
"SPECJALNY O?RODEK WYCHOWAWCZY NR 1 W OSTROWCU ?WI?TOKRZYSKIM","SZKOLNA","27-400","OSTROWIEC ?WI?TOKRZYSKI","21.418144","50.9312","91.96999999999998","995.09","5.0","44.02","25.100000000000005","2025-04-28 20:00:00.0"
"ZESP?? SZK?? PONADGIMNAZJALNYCH CENTRUM KSZTA?CENIA USTAWICZNEGO W PRZYGODZICACH","PTR","63-421","PRZYGODZICE","17.822685","51.59023","39.36666666666667","1017.6","16.2","1.8","0.89","2025-04-28 20:00:00.0"
"LICEUM OG?LNOKSZTA?C?CE IM. W?ADYS?AWA JAGIE??Y W ODOLANOWIE","KROTOSZY?SKA","63-430","ODOLAN?W","17.66024","51.58063","38.63333333333333","1008.3000000000001","17.3","13.066666666666668","8.193333333333333","2025-04-28 20:00:00.0"
"ZESP?? SZK?? W PIOTROWIE","","62-814","PIOTR?W","18.05485","51.81570","34.233333333333334","1010.2333333333332","18.266666666666666","12.366666666666667","6.13","2025-04-28 20:00:00.0"
"SZKO?A PODSTAWOWA W CZARNYMLESIE","","63-421","CZARNYLAS","17.762604","51.508366","53.800000000000004","1005.3333333333334","17.53333333333333","27.833333333333332","16.276666666666667","2025-04-28 20:00:00.0"
"SZKO?A PODSTAWOWA NR 2 IM. AUGUSTA HR. CIESZKOWSKIEGO W LUBONIU","?ABIKOWSKA","62-030","LUBO?","16.878431","52.346672","34.666666666666664","1016.5333333333333","21.333333333333332","5.966666666666666","3.24","2025-04-28 20:00:00.0"
"SZKO?A PODSTAWOWA IM. POWSTA?C?W WIELKOPOLSKICH W DORUCHOWIE","KALISKA","63-505","DORUCH?W","18.0786","51.4189","95.31","1015.31","8.56","32.76","18.92","2025-04-28 20:00:00.0"
"SZKO?A PODSTAWOWA IM. MIKO?AJA KOPERNIKA W BUKOWCU","SZKOLNA","95-006","BUKOWIEC","19.6757","51.6918","31.599999999999998","993.9","25.233333333333334","1.8333333333333333","0.8833333333333333","2025-04-28 20:00:00.0"
"SZKO?A PODSTAWOWA IM. MARII KONOPNICKIEJ W KOTLINIE","MARII KONOPNICKIEJ","63-220","KOTLIN","17.645437","51.91866","42.73333333333333","1007.1333333333333","15.833333333333334","0.7000000000000001","0.4266666666666667","2025-04-28 20:00:00.0"
"SZKO?A PODSTAWOWA NR 2 W OTMUCHOWIE","KALINOWA","48-385","OTMUCH?W","17.213","50.46535","56.46666666666667","1002.9","17.933333333333334","10.5","6.31","2025-04-28 20:00:00.0"
"SZKO?A PODSTAWOWA IM. BOHATER?W POWSTA? ?L?SKICH W KA?KOWIE","","48-364","KA?K?W","17.185241","50.40420","96.33999999999999","1010.98","8.55","31.05","18.64","2025-04-28 20:00:00.0"
"SZKO?A PODSTAWOWA W MACIEJOWICACH","","48-385","MACIEJOWICE","17.13497","50.4998","53.666666666666664","989.8000000000001","17.333333333333332","26.433333333333334","15.299999999999999","2025-04-28 20:00:00.0"
"TEST SZKO?A","ul Testowa","00-000","TESTCITY","-157.52969778504766","1.8586845937815497","89.69","992.4699999999999","7.760000000000001","50.169999999999995","30.320000000000004","2025-04-28 20:00:00.0"
"ZESP?? EDUKACYJNY W KONOTOPIE","PL. POWSTA?C?W WIELKOPOLSKICH","67-416","KONOTOP","15.9031","51.93023","29.866666666666664","1015.5666666666666","28.266666666666666","10.466666666666667","6.043333333333334","2025-04-28 20:00:00.0"
"PRZEDSZKOLE NR 6 W BOCHNI","MUROWIANKA","32-700","BOCHNIA","20.4415","49.96533","51.03333333333333","1018.9333333333334","20.066666666666666","2.8333333333333335","1.6166666666666665","2025-04-28 20:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA W SZYMISZOWIE","SZKOLNA","47-161","SZYMISZ?W","18.21983","50.53656","41.0","1001.0333333333333","17.900000000000002","3.7000000000000006","1.9133333333333333","2025-04-28 20:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA W ROZMIERCE","SZKOLNA","47-171","ROZMIERKA","18.26905","50.560720","96.32","995.88","5.98","47.13","29.899999999999995","2025-04-28 20:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA W DZIEWKOWICACH","STRZELECKA","47-100","DZIEWKOWICE","18.34475","50.51530","96.32","995.88","5.98","47.13","29.899999999999995","2025-04-28 20:00:00.0"
"SZKO?A PODSTAWOWA IM. OR?A BIA?EGO W KUROWICACH FILIA W WOLI RAKOWEJ","SZKOLNA","95-006","WOLA RAKOWA","19.61157","51.67447","38.73333333333333","1001.1333333333333","18.433333333333334","0.16666666666666666","0.08","2025-04-28 20:00:00.0"
