NAME,STREET,POST_CODE,CITY,LONGITUDE,LATITUDE,HUMIDITY_AVG,PRESSURE_AVG,TEMPERATURE_AVG,PM10_AVG,PM25_AVG,TIMESTAMP
SZKO?A PODSTAWOWA IM. MARIANA FALSKIEGO W KRASZEWICACH,UL. SZKOLNA,63-522,KRASZEWICE,18.22403,51.51563,95.12,1015.11,8.61,32.86,20.2,2025-04-28 08:00:00.0
SZKO?A PODSTAWOWA WE WRZ?SOWICACH,UL. SZKOLNA,32-040,WRZ?SOWICE,19.94282,49.96103,66.21818181818182,988.6636363636364,5.909090909090909,7.5,6.645454545454545,2025-04-28 08:00:00.0
PUBLICZNA SZKO?A PODSTAWOWA NR 2 IM. KAZIMIERZA MALCZEWSKIEGO W STRZELCACH OPOLSKICH,UL. WAWRZY?CA ?WIERZEGO,47-100,STRZELCE OPOLSKIE,18.314889,50.503431,78.0,1043.2666666666669,4.733333333333333,1.0,0.5433333333333333,2025-04-28 08:00:00.0
ZESP?? SZK?? NR 1 W PSZCZYNIE,UL. KAZIMIERZA WIELKIEGO,43-200,PSZCZYNA,18.9457058,49.965883,99.90000000000002,1005.5333333333332,3.233333333333333,16.366666666666667,10.02,2025-04-28 08:00:00.0
ZESP?? SZK?? IM. POWSTA?C?W WIELKOPOLSKICH W JANKOWIE PRZYGODZKIM,SZKOLNA,63-421,JANK?W PRZYGODZKI,17.7889069,51.596172,91.13333333333333,1013.0,4.6000000000000005,22.133333333333336,12.62,2025-04-28 08:00:00.0
SZKO?A PODSTAWOWA NR 7 IM. ?O?NIERZY WRZE?NIA W ?WIKLICACH,UL. M?CZENNIK?W O?WI?CIMSKICH,43-229,?WIKLICE,18.989839,49.971937,77.23333333333333,996.9333333333334,9.6,18.23333333333333,10.49,2025-04-28 08:00:00.0
SZKO?A PODSTAWOWA NR 12 W STUDZIONCE,UL. JORDANA,43-245,STUDZIONKA,18.774985,49.9603559,99.90000000000002,1004.3333333333334,5.0,24.766666666666666,15.0,2025-04-28 08:00:00.0
ZESP?? SZKOLNO-PRZEDSZKOLNY W PIASKU,SZKOLNA,43-211,PIASEK,18.94634,50.00955,79.53333333333333,1004.0333333333332,2.5666666666666664,31.4,18.15,2025-04-28 08:00:00.0
ZESP?? SZKOLNO-PRZEDSZKOLNY W ??CE,FITELBERGA,43-241,??KA,18.906757,49.9582444,81.10000000000001,1002.9666666666668,3.633333333333333,21.33333333333333,11.936666666666667,2025-04-28 08:00:00.0
SZKO?A PODSTAWOWA NR 3 W LUBONIU,ARMII POZNA?,62-030,LUBO?,16.8968,52.3481,99.90000000000002,1012.3666666666668,3.0,16.5,8.743333333333334,2025-04-28 08:00:00.0
SPECJALNY O?RODEK WYCHOWAWCZY NR 1 W OSTROWCU ?WI?TOKRZYSKIM,SZKOLNA,27-400,OSTROWIEC ?WI?TOKRZYSKI,21.418144,50.9312,91.96999999999998,995.09,5.0,44.02,25.100000000000005,2025-04-28 08:00:00.0
ZESP?? SZK?? PONADGIMNAZJALNYCH CENTRUM KSZTA?CENIA USTAWICZNEGO W PRZYGODZICACH,PTR,63-421,PRZYGODZICE,17.822685,51.59023,70.16666666666667,1022.4,4.6000000000000005,1.2666666666666666,0.7066666666666667,2025-04-28 08:00:00.0
LICEUM OG?LNOKSZTA?C?CE IM. W?ADYS?AWA JAGIE??Y W ODOLANOWIE,KROTOSZY?SKA,63-430,ODOLAN?W,17.66024,51.58063,81.89999999999999,1012.0666666666666,3.0666666666666664,34.333333333333336,18.19,2025-04-28 08:00:00.0
ZESP?? SZK?? W PIOTROWIE,,62-814,PIOTR?W,18.05485,51.8157,71.63333333333334,1014.0666666666666,4.433333333333334,39.333333333333336,21.846666666666664,2025-04-28 08:00:00.0
