"NAME","STREET","POST_CODE","CITY","LONGITUDE","LATITUDE","HUMIDITY_AVG","PRESSURE_AVG","TEMPERATURE_AVG","PM10_AVG","PM25_AVG","TIMESTAMP"
"SZKO?A PODSTAWOWA IM. MARIANA FALSKIEGO W KRASZEWICACH","UL. SZKOLNA","63-522","KRASZEWICE","18.22403","51.51563","95.12","1015.11","8.61","32.86","20.2","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA WE WRZ?SOWICACH","UL. SZKOLNA","32-040","WRZ?SOWICE","19.94282","49.96103","30.866666666666664","987.6666666666666","20.866666666666664","4.733333333333333","4.233333333333333","2025-04-28 14:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA NR 2 IM. KAZIMIERZA MALCZEWSKIEGO W STRZELCACH OPOLSKICH","UL. WAWRZY?CA ?WIERZEGO","47-100","STRZELCE OPOLSKIE","18.314889","50.503431","43.666666666666664","1042.1000000000001","17.03333333333333","1.0","0.5533333333333333","2025-04-28 14:00:00.0"
"ZESP?? SZK?? NR 1 W PSZCZYNIE","UL. KAZIMIERZA WIELKIEGO","43-200","PSZCZYNA","18.9457058","49.965883","51.333333333333336","1004.1666666666666","18.466666666666665","6.033333333333334","3.1366666666666667","2025-04-28 14:00:00.0"
"ZESP?? SZK?? IM. POWSTA?C?W WIELKOPOLSKICH W JANKOWIE PRZYGODZKIM","SZKOLNA","63-421","JANK?W PRZYGODZKI","17.7889069","51.596172","39.333333333333336","1010.6666666666666","18.400000000000002","12.700000000000001","6.96","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA NR 7 IM. ?O?NIERZY WRZE?NIA W ?WIKLICACH","UL. M?CZENNIK?W O?WI?CIMSKICH","43-229","?WIKLICE","18.989839","49.971937","37.26666666666667","995.5666666666666","25.066666666666666","4.0","2.32","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA NR 12 W STUDZIONCE","UL. JORDANA","43-245","STUDZIONKA","18.774985","49.9603559","62.666666666666664","1003.7333333333332","18.1","6.233333333333333","4.083333333333333","2025-04-28 14:00:00.0"
"ZESP?? SZKOLNO-PRZEDSZKOLNY W PIASKU","SZKOLNA","43-211","PIASEK","18.94634","50.00955","35.5","1003.8000000000001","20.566666666666666","4.533333333333333","2.46","2025-04-28 14:00:00.0"
"ZESP?? SZKOLNO-PRZEDSZKOLNY W ??CE","FITELBERGA","43-241","??KA","18.906757","49.9582444","39.666666666666664","1001.2333333333332","18.2","5.266666666666667","3.02","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA NR 3 W LUBONIU","ARMII POZNA?","62-030","LUBO?","16.8968","52.3481","31.833333333333332","1010.7666666666668","19.566666666666666","4.433333333333333","2.6366666666666667","2025-04-28 14:00:00.0"
"SPECJALNY O?RODEK WYCHOWAWCZY NR 1 W OSTROWCU ?WI?TOKRZYSKIM","SZKOLNA","27-400","OSTROWIEC ?WI?TOKRZYSKI","21.418144","50.9312","91.96999999999998","995.09","5.0","44.02","25.100000000000005","2025-04-28 14:00:00.0"
"LICEUM OG?LNOKSZTA?C?CE IM. W?ADYS?AWA JAGIE??Y W ODOLANOWIE","KROTOSZY?SKA","63-430","ODOLAN?W","17.66024","51.58063","31.3","1010.3000000000001","17.566666666666666","3.4","1.8","2025-04-28 14:00:00.0"
"ZESP?? SZK?? W PIOTROWIE","","62-814","PIOTR?W","18.05485","51.81570","19.3","1011.8000000000001","29.96666666666667","1.0666666666666667","0.5866666666666666","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA W CZARNYMLESIE","","63-421","CZARNYLAS","17.762604","51.508366","49.1","1007.4333333333334","18.566666666666666","11.733333333333334","7.1433333333333335","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA NR 2 IM. AUGUSTA HR. CIESZKOWSKIEGO W LUBONIU","?ABIKOWSKA","62-030","LUBO?","16.878431","52.346672","34.95","1019.875","20.05","5.825","3.2525","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA IM. POWSTA?C?W WIELKOPOLSKICH W DORUCHOWIE","KALISKA","63-505","DORUCH?W","18.0786","51.4189","95.31","1015.31","8.56","32.76","18.92","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA IM. MIKO?AJA KOPERNIKA W BUKOWCU","SZKOLNA","95-006","BUKOWIEC","19.6757","51.6918","43.166666666666664","997.1333333333333","18.233333333333334","2.4","1.3366666666666667","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA IM. MARII KONOPNICKIEJ W KOTLINIE","MARII KONOPNICKIEJ","63-220","KOTLIN","17.645437","51.91866","45.26666666666667","1009.6666666666666","15.133333333333333","0.03333333333333333","0.02","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA NR 2 W OTMUCHOWIE","KALINOWA","48-385","OTMUCH?W","17.213","50.46535","56.666666666666664","1004.8666666666667","17.166666666666668","5.733333333333333","3.4233333333333333","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA IM. BOHATER?W POWSTA? ?L?SKICH W KA?KOWIE","","48-364","KA?K?W","17.185241","50.40420","96.34","1010.98","8.55","31.05","18.64","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA W MACIEJOWICACH","","48-385","MACIEJOWICE","17.13497","50.4998","44.166666666666664","990.9666666666667","18.333333333333332","3.5","1.7766666666666666","2025-04-28 14:00:00.0"
"TEST SZKO?A","ul Testowa","00-000","TESTCITY","-157.52969778504766","1.8586845937815497","89.69","992.4699999999999","7.760000000000001","50.169999999999995","30.320000000000004","2025-04-28 14:00:00.0"
"ZESP?? EDUKACYJNY W KONOTOPIE","PL. POWSTA?C?W WIELKOPOLSKICH","67-416","KONOTOP","15.9031","51.93023","45.73333333333333","1018.4333333333334","17.900000000000002","3.0","1.7733333333333334","2025-04-28 14:00:00.0"
"PRZEDSZKOLE NR 6 W BOCHNI","MUROWIANKA","32-700","BOCHNIA","20.4415","49.96533","43.699999999999996","1021.3000000000001","21.266666666666666","2.1333333333333333","1.1333333333333333","2025-04-28 14:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA W SZYMISZOWIE","SZKOLNA","47-161","SZYMISZ?W","18.21983","50.53656","44.0","1003.3000000000001","20.033333333333335","4.2","2.07","2025-04-28 14:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA W ROZMIERCE","SZKOLNA","47-171","ROZMIERKA","18.26905","50.560720","96.32","995.88","5.98","47.13","29.899999999999995","2025-04-28 14:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA W DZIEWKOWICACH","STRZELECKA","47-100","DZIEWKOWICE","18.34475","50.51530","96.32","995.88","5.98","47.13","29.899999999999995","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA IM. OR?A BIA?EGO W KUROWICACH FILIA W WOLI RAKOWEJ","SZKOLNA","95-006","WOLA RAKOWA","19.61157","51.67447","34.53333333333333","1004.1999999999999","18.333333333333332","0.2333333333333333","0.10999999999999999","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA IM. KS. JANA TWARDOWSKIEGO WE W?ADYS?AWOWIE","KALISKA","62-610","W?ADYS?AW?W","18.4688","52.10134","92.51","1014.7000000000002","8.83","28.05","16.66","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA NR 8 IM. J?ZEFA WESZKI W RUDO?TOWICACH","KRZYWO?","43-220","RUDO?TOWICE","19.00171","49.95711","1.0","999.8666666666667","19.599999999999998","3.466666666666667","2.0900000000000003","2025-04-28 14:00:00.0"
"ZESP?? SZKOLNO-PRZEDSZKOLNY W WI?LE WIELKIEJ","HODOWC?W","43-243","WIS?A WIELKA","18.85320","49.95291","44.300000000000004","999.4","20.599999999999998","3.233333333333333","1.8466666666666667","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA IM. MARKA PRAWEGO W JEMIELNICY","SZKOLNA","47-133","JEMIELNICA","18.380122","50.548993","31.166666666666668","993.8666666666667","19.666666666666668","4.466666666666666","2.516666666666667","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA NR 2 IM. ?W. JADWIGI ?L?SKIEJ W PSZCZYNIE","KATOWICKA","43-200","PSZCZYNA","18.947994","49.992568","43.199999999999996","1003.6","20.0","2.6666666666666665","1.5566666666666666","2025-04-28 14:00:00.0"
"ZESP?? SZK?? SPECJALNYCH W OSTROWCU ?WI?TOKRZYSKIM","I?ZECKA","27-400","OSTROWIEC ?WI?TOKRZYSKI","21.386931","50.942931","92.61","994.75","5.04","40.73","23.77","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA NR 6 IM. KORNELA MAKUSZY?SKIEGO W CZARKOWIE","POWSTA?C?W ?L?SKICH","43-211","CZARK?W","18.909560","50.011713","27.96666666666667","1000.0","24.433333333333334","2.6333333333333333","1.39","2025-04-28 14:00:00.0"
"ZESP?? SZKOLNO-PRZEDSZKOLNY W JANKOWICACH","BAZIOWA","43-215","JANKOWICE","18.989423","50.002529","71.1","992.12","0.24","68.37","39.28","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA NR 4 IM. J?ZEFA PUKOWCA W PSZCZYNIE","ZYGMUNTA KRASI?SKIEGO","43-200","PSZCZYNA","18.961125","49.971182","41.9","998.4333333333334","19.833333333333332","1.8666666666666665","0.9500000000000001","2025-04-28 14:00:00.0"
"SZKO?A PODSTAWOWA IM. ARKADEGO FIEDLERA W RASZKOWIE Z SIEDZIB? W POGRZYBOWIE","POGRZYB?W","63-440","POGRZYB?W","17.723099","51.713966","48.70000000000001","1018.2000000000002","22.899999999999995","6.0","3.5","2025-04-28 14:00:00.0"
