"NAME","STREET","POST_CODE","CITY","LONGITUDE","LATITUDE","HUMIDITY_AVG","PRESSURE_AVG","TEMPERATURE_AVG","PM10_AVG","PM25_AVG","TIMESTAMP"
"SZKO?A PODSTAWOWA IM. MARIANA FALSKIEGO W KRASZEWICACH","UL. SZKOLNA","63-522","KRASZEWICE","18.22403","51.51563","95.12","1015.11","8.61","32.86","20.2","2025-04-28 03:00:00.0"
"SZKO?A PODSTAWOWA NR 5 W ANDRYCHOWIE","UL. LENARTOWICZA","34-120","ANDRYCH?W","19.35447","49.8611","71.535","1025.43","3.565","16.255","13.305","2025-04-28 03:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA STOWARZYSZENIA PRZYJACI?? SZK?? KATOLICKICH W BRZEZINCE","UL. S?ONECZNA","34-120","BRZEZINKA","19.31928","49.82671","79.0","1025.33","3.83","6.52","5.13","2025-04-28 03:00:00.0"
"SZKO?A PODSTAWOWA IM. ?W. JANA KANTEGO W GDOWIE","","32-420","GD?W","20.20032","49.90377","55.22","1027.615","2.735","14.035","10.239999999999998","2025-04-28 03:00:00.0"
"SZKO?A PODSTAWOWA NR 1 IM. KS. STANIS?AWA KONARSKIEGO W GORLICACH","UL. PI?KNA","38-300","GORLICE","21.15958","49.65331","71.12","1028.34","2.93","7.51","5.72","2025-04-28 03:00:00.0"
"SZKO?A PODSTAWOWA IM. MJR HENRYKA SUCHARSKIEGO W INWA?DZIE","UL. WADOWICKA","34-120","INWA?D","19.39269","49.86370","78.75","1025.76","4.27","29.51","21.75","2025-04-28 03:00:00.0"
"SZKO?A PODSTAWOWA W JAMNICY","","33-300","JAMNICA?","20.74622","49.58535","80.74","1026.89","3.09","7.36","5.14","2025-04-28 03:00:00.0"
"SZKO?A PODSTAWOWA IM. OJCA ?WI?TEGO JANA PAW?A II W JEZIORZANACH","","32-060","JEZIORZANY","19.77931","49.98800","78.0","1027.1","6.2","9.66","7.71","2025-04-28 03:00:00.0"
"SZKO?A PODSTAWOWA IM. OJCA ?WI?TEGO JANA PAW?A II W NIEGOWICI","","32-420","NIEGOWI?","20.24085","49.93766","55.255","1029.06","3.2350000000000003","14.015","10.535","2025-04-28 03:00:00.0"
"SZKO?A PODSTAWOWA IM. KS. JANA TWARDOWSKIEGO W OLSZOWICACH","UL. ?W. FLORIANA","32-040","OLSZOWICE","19.93596","49.92060","52.815","1026.25","4.245","10.09","8.06","2025-04-28 03:00:00.0"
"ZESP?? SZKOLNO-PRZEDSZKOLNY NR 4 W RYBNIKU","UL. KOMISJI EDUKACJI NARODOWEJ","44-207","RYBNIK","18.54053","50.14386","71.815","1025.47","4.095000000000001","0.27999999999999997","0.20500000000000002","2025-04-28 03:00:00.0"
"TEST SZKO?A","ul Testowa","00-000","TESTCITY","-157.52969778504766","1.8586845937815497","79.75","","3.36","23.695","18.43","2025-04-28 03:00:00.0"
"ZESP?? SZK?? SAMORZ?DOWYCH W RZYKACH","OS. SZCZ??NIAKI","34-125","RZYKI","19.39102","49.81440","76.91","1025.59","3.36","0.73","0.64","2025-04-28 03:00:00.0"
"SZKO?A PODSTAWOWA IM. ADAMA MICKIEWICZA W ?WI?TNIKACH G?RNYCH","UL. FRANCISZKA BIELOWICZA","32-040","?WI?TNIKI G?RNE","19.96111","49.93483","55.245000000000005","1023.375","3.48","7.984999999999999","6.35","2025-04-28 03:00:00.0"
"SZKO?A PODSTAWOWA IM. ?W. JADWIGI KR?LOWEJ W WINIARACH","","32-420","WINIARY","20.14058","49.90107","79.44","1029.37","3.67","19.17","14.91","2025-04-28 03:00:00.0"
"SZKO?A PODSTAWOWA WE WRZ?SOWICACH","UL. SZKOLNA","32-040","WRZ?SOWICE","19.94282","49.96103","60.64166666666667","988.4416666666666","6.55","7.75","6.866666666666667","2025-04-28 03:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA NR 2 IM. KAZIMIERZA MALCZEWSKIEGO W STRZELCACH OPOLSKICH","UL. WAWRZY?CA ?WIERZEGO","47-100","STRZELCE OPOLSKIE","18.314889","50.503431","73.0","1043.5666666666666","4.533333333333333","1.0","0.5733333333333334","2025-04-28 03:00:00.0"
"ZESP?? SZK?? NR 1 W PSZCZYNIE","UL. KAZIMIERZA WIELKIEGO","43-200","PSZCZYNA","18.9457058","49.965883","99.90000000000002","1005.4","3.7999999999999994","11.5","6.656666666666666","2025-04-28 03:00:00.0"
"ZESP?? SZK?? IM. POWSTA?C?W WIELKOPOLSKICH W JANKOWIE PRZYGODZKIM","SZKOLNA","63-421","JANK?W PRZYGODZKI","17.7889069","51.596172","72.53333333333333","1012.8333333333334","6.166666666666667","15.9","9.646666666666667","2025-04-28 03:00:00.0"
