"NAME","STREET","POST_CODE","CITY","LONGITUDE","LATITUDE","HUMIDITY_AVG","PRESSURE_AVG","TEMPERATURE_AVG","PM10_AVG","PM25_AVG","TIMESTAMP"
"SZKO?A PODSTAWOWA IM. MARIANA FALSKIEGO W KRASZEWICACH","UL. SZKOLNA","63-522","KRASZEWICE","18.22403","51.51563","95.12","1015.11","8.61","32.86","20.2","2025-04-28 15:00:00.0"
"SZKO?A PODSTAWOWA WE WRZ?SOWICACH","UL. SZKOLNA","32-040","WRZ?SOWICE","19.94282","49.96103","31.8","987.1","20.3","4.2","3.8","2025-04-28 15:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA NR 2 IM. KAZIMIERZA MALCZEWSKIEGO W STRZELCACH OPOLSKICH","UL. WAWRZY?CA ?WIERZEGO","47-100","STRZELCE OPOLSKIE","18.314889","50.503431","41.0","1041.6333333333332","18.0","1.0","0.58","2025-04-28 15:00:00.0"
"ZESP?? SZK?? NR 1 W PSZCZYNIE","UL. KAZIMIERZA WIELKIEGO","43-200","PSZCZYNA","18.9457058","49.965883","49.475","1003.8","19.55","5.025","2.96","2025-04-28 15:00:00.0"
"ZESP?? SZK?? IM. POWSTA?C?W WIELKOPOLSKICH W JANKOWIE PRZYGODZKIM","SZKOLNA","63-421","JANK?W PRZYGODZKI","17.7889069","51.596172","37.300000000000004","1010.1","18.933333333333334","12.600000000000001","6.883333333333333","2025-04-28 15:00:00.0"
"SZKO?A PODSTAWOWA NR 7 IM. ?O?NIERZY WRZE?NIA W ?WIKLICACH","UL. M?CZENNIK?W O?WI?CIMSKICH","43-229","?WIKLICE","18.989839","49.971937","39.73333333333333","995.1","23.5","4.833333333333333","2.9933333333333336","2025-04-28 15:00:00.0"
"SZKO?A PODSTAWOWA NR 12 W STUDZIONCE","UL. JORDANA","43-245","STUDZIONKA","18.774985","49.9603559","59.4","1003.0666666666666","19.2","5.0","2.9633333333333334","2025-04-28 15:00:00.0"
"ZESP?? SZKOLNO-PRZEDSZKOLNY W PIASKU","SZKOLNA","43-211","PIASEK","18.94634","50.00955","34.1","1003.2666666666668","22.0","4.166666666666667","2.2933333333333334","2025-04-28 15:00:00.0"
"ZESP?? SZKOLNO-PRZEDSZKOLNY W ??CE","FITELBERGA","43-241","??KA","18.906757","49.9582444","39.43333333333333","1000.7666666666668","18.933333333333334","5.133333333333334","2.9133333333333336","2025-04-28 15:00:00.0"
"SZKO?A PODSTAWOWA NR 3 W LUBONIU","ARMII POZNA?","62-030","LUBO?","16.8968","52.3481","30.566666666666666","1009.5666666666666","20.466666666666665","3.4333333333333336","1.9466666666666665","2025-04-28 15:00:00.0"
